2025-08-03 16:52:27,517 | INFO | __main__ | 🚀 Starting Enterprise Forex Trading Bot Training
2025-08-03 16:52:36,033 | INFO | __main__ | SUCCESS: RL libraries available
2025-08-03 16:52:36,034 | INFO | __main__ | SUCCESS: PyTorch 2.7.1+cpu available
2025-08-03 16:52:36,280 | INFO | __main__ | SUCCESS: MetaTrader5 available
2025-08-03 16:52:36,362 | INFO | __main__ | SUCCESS: All core modules imported
2025-08-03 16:52:36,462 | INFO | __main__ | Production Training System initialized
2025-08-03 16:52:36,462 | INFO | __main__ | Starting complete training pipeline...
2025-08-03 16:52:36,463 | INFO | datahandler | MT5 DataHandler initialized
2025-08-03 16:52:36,465 | INFO | datahandler | MT5 connection attempt 1...
2025-08-03 16:52:59,735 | ERROR | datahandler | MT5 login failed: (-6, 'Terminal: Authorization failed')
2025-08-03 16:52:59,735 | ERROR | __main__ | Failed to connect to MT5
2025-08-03 16:55:30,939 | INFO | __main__ | 🚀 Starting Enterprise Forex Trading Bot Training
2025-08-03 16:55:32,882 | INFO | __main__ | SUCCESS: RL libraries available
2025-08-03 16:55:32,883 | INFO | __main__ | SUCCESS: PyTorch 2.7.1+cpu available
2025-08-03 16:55:32,887 | INFO | __main__ | SUCCESS: MetaTrader5 available
2025-08-03 16:55:32,892 | INFO | __main__ | SUCCESS: All core modules imported
2025-08-03 16:55:32,895 | INFO | __main__ | Production Training System initialized
2025-08-03 16:55:32,895 | INFO | __main__ | Starting complete training pipeline...
2025-08-03 16:55:32,896 | INFO | datahandler | MT5 DataHandler initialized
2025-08-03 16:55:32,896 | INFO | datahandler | MT5 connection attempt 1...
2025-08-03 16:55:32,898 | ERROR | datahandler | MT5 initialization failed: (-6, 'Terminal: Authorization failed')
2025-08-03 16:55:32,898 | ERROR | __main__ | Failed to connect to MT5
2025-08-03 16:58:27,501 | INFO | __main__ | 🚀 Starting Enterprise Forex Trading Bot Training
2025-08-03 16:58:29,115 | INFO | __main__ | SUCCESS: RL libraries available
2025-08-03 16:58:29,115 | INFO | __main__ | SUCCESS: PyTorch 2.7.1+cpu available
2025-08-03 16:58:29,120 | INFO | __main__ | SUCCESS: MetaTrader5 available
2025-08-03 16:58:29,144 | INFO | __main__ | SUCCESS: All core modules imported
2025-08-03 16:58:29,150 | INFO | __main__ | Production Training System initialized
2025-08-03 16:58:29,151 | INFO | __main__ | Starting complete training pipeline...
2025-08-03 16:58:29,151 | INFO | datahandler | MT5 DataHandler initialized
2025-08-03 16:58:29,152 | INFO | datahandler | MT5 connection attempt 1...
2025-08-03 16:58:29,154 | ERROR | datahandler | MT5 initialization failed: (-6, 'Terminal: Authorization failed')
2025-08-03 16:58:29,155 | ERROR | __main__ | Failed to connect to MT5
2025-08-03 16:58:55,050 | INFO | __main__ | 🚀 Starting Enterprise Forex Trading Bot Training
2025-08-03 16:58:56,610 | INFO | __main__ | SUCCESS: RL libraries available
2025-08-03 16:58:56,610 | INFO | __main__ | SUCCESS: PyTorch 2.7.1+cpu available
2025-08-03 16:58:56,614 | INFO | __main__ | SUCCESS: MetaTrader5 available
2025-08-03 16:58:56,625 | INFO | __main__ | SUCCESS: All core modules imported
2025-08-03 16:58:56,627 | INFO | __main__ | Production Training System initialized
2025-08-03 16:58:56,628 | INFO | __main__ | Starting complete training pipeline...
2025-08-03 16:58:56,628 | INFO | datahandler | MT5 DataHandler initialized
2025-08-03 16:58:56,629 | INFO | datahandler | MT5 connection attempt 1...
2025-08-03 16:58:56,631 | ERROR | datahandler | MT5 initialization failed: (-6, 'Terminal: Authorization failed')
2025-08-03 16:58:56,631 | ERROR | __main__ | Failed to connect to MT5
2025-08-03 16:59:20,886 | INFO | __main__ | 🚀 Starting Enterprise Forex Trading Bot Training
2025-08-03 16:59:22,453 | INFO | __main__ | SUCCESS: RL libraries available
2025-08-03 16:59:22,453 | INFO | __main__ | SUCCESS: PyTorch 2.7.1+cpu available
2025-08-03 16:59:22,456 | INFO | __main__ | SUCCESS: MetaTrader5 available
